Distance,Frequency
0,12
21.46059,1
49.42975,1
61.2805,1
63.97318,1
65.86641,1
71.14462,1
72.43994,1
72.55864,1
74.21411,2
93.39218,1
104.43227,2
106.46434,1
109.72478,1
115.69466,1
121.52144,1
122.63283,1
123.84699,1
123.93935,1
124.54349,1
130.44635,1
131.1379,2
135.62281,1
138.30159,1
142.83949,1
152.6681,1
157.48773,4
163.12624,1
168.6811,1
176.99068,1
191.8194,1
196.57413,2
205.59127,1
205.72168,1
207.85828,3
220.71478,1
236.01212,2
247.85144,3
268.38636,1
274.85573,4
282.24855,1
286.88482,1
291.01115,1
294.08526,1
304.12978,2
307.07763,1
312.06847,1
327.66262,1
341.21284,1
354.99543,1
370.61299,1
377.12973,1
390.51394,1
419.49759,1
419.81701,1
422.6324,1
425.03875,1
431.94405,1
455.54449,1
457.35668,1
463.8983,1
465.64726,1
472.29534,1
492.15101,1
497.72483,1
515.96096,1
542.0813,1
582.74887,1
598.44835,1
604.64726,1
618.88632,1
641.13557,1
653.3565,3
720.32127,1
752.45426,1
794.69884,1
879.54669,1
917.97896,1
923.81564,1
952.7048,1
955.98502,1
1022.89553,1
1044.04725,1
1087.74811,1
1160.138,1
1188.11161,1
1225.84869,1
1235.74773,1
1281.26627,1
1318.62815,2
1357.42668,1
1373.28934,1
1389.11872,1
1592.53185,1